numFrame sysClock
1 3168
2 23321
3 57278
4 86306
5 117257
6 148345
7 179318
8 213322
9 242339
10 273332
11 304668
12 335325
13 369360
14 398383
15 429337
16 460347
17 491352
18 522331
19 553332
20 585461
21 616354
22 647238
23 681348
24 710306
25 741261
26 772360
27 803335
28 837340
29 865355
30 897377
31 928449
32 959340
33 991335
34 1021581
35 1053267
36 1084377
37 1115262
38 1147435
39 1178372
40 1209292
41 1240304
42 1271427
43 1303372
44 1334370
45 1365350
46 1396334
47 1427359
48 1459347
49 1490361
50 1521351
51 1552296
52 1583362
53 1614701
54 1645380
55 1678479
56 1708351
57 1739905
58 1770352
59 1802065
60 1834002
61 1865562
62 1904996
63 1929038
64 1965398
65 1989602
66 2029466
67 2052383
68 2091363
69 2113638
70 2147880
71 2177440
72 2211237
73 2240497
74 2271419
75 2301238
76 2335382
77 2364055
78 2397694
79 2425607
80 2458979
81 2488401
82 2521349
83 2550494
84 2581662
85 2613258
86 2644275
87 2675278
88 2706260
89 2738263
90 2769261
91 2800252
92 2831268
93 2862280
94 2893502
95 2925264
96 2955269
97 2987234
98 3018235
99 3049247
100 3081258
101 3111275
102 3143237
103 3175263
104 3205299
105 3237257
106 3267271
107 3299294
108 3330240
109 3361276
110 3393245
111 3423242
112 3455247
113 3488275
114 3517266
115 3549246
116 3581413
117 3611331
118 3643535
119 3673279
120 3704800
121 3735247
122 3767939
